Event id,Asset affected,Status,Published,Start of event,End of event,Changed availability (MSm3/d),Comments
2020-191,Emden,New,2020-04-21 11:00,2020-09-14 06:00,2020-10-01 06:00,-11.5,Yearly maintenance
2020-192,Dornum,New,2020-04-21 11:00,2020-09-23 06:00,2020-09-24 06:00,-41.0,Yearly maintenance
2021-78,Gina Krog Import,New,2020-09-02 11:58,2021-03-01 06:00,2021-03-02 06:00,-8.0,Yearly maintenance
2021-44,Fields Delivering into SEGAL,Rev. 3,2020-04-21 11:00,2021-04-15 06:00,2021-05-07 06:00,-15.0,"Yearly maintenance, Ramp up GD 06.05.21 capacity - 12"
2021-4,Emden,Rev. 1,2019-10-21 12:37,2021-05-10 06:00,2021-05-11 06:00,-46.5,Yearly maintenance
2021-5,Emden,Rev. 1,2019-10-21 12:37,2021-05-11 06:00,2021-05-12 06:00,-16.5,Yearly maintenance
2021-2,Dunkerque,Rev. 3,2020-08-20 13:32,2021-06-09 06:00,2021-06-10 06:00,-33.9,Yearly maintenance
2021-43,St.Fergus,New,2019-11-21 10:30,2021-07-01 06:00,2021-07-17 06:00,-28.6,Yearly maintenance
2021-79,Gina Krog Import,New,2020-09-02 11:58,2021-08-27 06:00,2021-09-17 06:00,-8.0,Yearly maintenance
2021-3,Easington,Rev. 1,2019-10-21 12:37,2021-09-08 06:00,2021-09-09 06:00,-71.2,Yearly maintenance
2021-40,Zeebrugge,Rev. 2,2020-06-25 14:16,2021-09-14 06:00,2021-09-15 06:00,-21.4,Yearly maintenance
2021-22,Dornum,Rev. 1,2019-10-21 12:37,2021-09-22 06:00,2021-09-23 06:00,-41.0,Yearly maintenance
